Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
EVRY,,,,EVRY,"0.0,-0.0",Université Paris-Saclay,Lettres et langues,Formation initiale|Formation continue|Apprentissage,"M2 Narration, Traduction et Nouveaux Médias",Formation continue|Apprentissage,"ARTS, LETTRES, LANGUES",Oui,80.0,2020.0,,
Université Paris-VII,5 rue Thomas Mann,,,PARIS,"48.830259,2.380926",Université Paris-VII,Littérature générale et comparée,Formation initiale,"Littératures du monde, études comparatistes",Formation initiale,"ARTS, LETTRES, LANGUES",Oui,30.0,2019.0,,
Pôle Guadeloupe,UFR Sciences Exactes et Naturelles,Campus de Fouillole,BP 592,POINTE-A-PITRE,"16.224895,-61.52847",UNIVERSITE DES ANTILLES,MIAGE - Méthodes Informatiques Appliquées à la Gestion des Entreprises,Formation initiale,MIAGE - Sciences des données et systèmes décisionnels (SD2),Formation initiale|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,18.0,2020.0,,
UFR SHA,3 rue Théodore Lefebvre,Bât. A4,TSA 81118,POITIERS,"46.586347,0.342305",Université de Poitiers,MIGRATIONS INTERNATIONALES,Formation initiale|Formation continue,,,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2021.0,"Droit|Science politique|Histoire|Sociologie|Géographie et aménagement|Humanités|Sciences de l'Homme, anthropologie, ethnologie|Sciences sociales",
IMA - UF Sciences de l'ingénieur,24 Rue Marcel Issartier,,,MERIGNAC,"44.83847,-0.716786",Université de Bordeaux,Maintenance aéronautique,Formation initiale|Formation continue,Ingénierie des systèmes électroniques embarqués,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,85.0,2020.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Management,Formation initiale|Formation continue|Apprentissage,Management des achats et de la supply chain,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,190.0,2021.0,,
Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,,,PARIS CEDEX 03,,Conservatoire national des arts et métiers,Management de l'innovation,Formation continue,Management de l'innovation et de la conception innovante,Formation continue,"DROIT, ECONOMIE, GESTION",Non,,2021.0,,
Université Paul-Valéry Montpellier 3,Route de Mende,,,MONTPELLIER,"43.63373,3.873033",Université de Montpellier,Management des PME-PMI,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,32.0,2021.0,Gestion|Administration économique et sociale|Economie et gestion,https://formations.umontpellier.fr/fr/formations/droit-economie-gestion-DEG/master-XB/master-management-des-pme-pmi-program-master-management-des-pme-pmi.html
UPEC-UFR Sciences économiques et gestion-IAE,Mail des mèches,,,Créteil,"0.0,-0.0",Université Paris-XII,Management des organisations de santé,Formation continue|Formation à distance|Alternance|Apprentissage,Management des établissements de santé,Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,75.0,2020.0,,
La Rochelle Université,,,,La Rochelle,"46.140864,-1.153271",Université de La Rochelle,Management des systèmes d'information,Formation initiale|Formation continue|Alternance,Intelligence des systèmes d’information,Formation initiale|Formation continue|Alternance,"DROIT, ECONOMIE, GESTION",Oui,25.0,2020.0,,
I.A.E. - GRENOBLE,621  AVENUE CENTRALE,,,SAINT MARTIN D'HERES,"45.191778,5.767253",Université Grenoble Alpes,Management et administration des entreprises,Formation continue,Manager - double compétence,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,25.0,2020.0,,
Institut Supérieur d'Economie et de Management,24 Avenue des Diables Bleus,,,NICE,"43.708336,7.288247",Universié Côte d'Azur,Management et commerce international,Formation initiale|Formation continue,Stratégie d'entreprise et développement international,Formation initiale|Formation continue|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,80.0,2020.0,,
Rennes,UFR sciences sociales,Place recteur Henri Le Moal,,Rennes,"48.123634,-1.700273",Université Rennes-II,Management public,Formation initiale|Formation continue,Management public territorial,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,30.0,2019.0,Droit|Science politique|Administration économique et sociale,https://formations.univ-rennes2.fr/fr/formations/master-37/master-mention-management-public-JFMJ9ZX1.html
Université de Caen  Normandie,ESPLANADE DE LA PAIX,,,CAEN CEDEX 5,,Université de Caen  Normandie,Management sectoriel,Formation initiale|Formation continue|Formation à distance,Management de l'économie solidaire,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,279.0,2021.0,,
Institut d'administration des entreprises,Chemin de la Quille,Le clos Guiot,,Puyricard,"43.586362,5.423431",Université d'Aix-Marseille,Management stratégique,Formation initiale|Formation continue|Alternance|Apprentissage,Management international,Formation initiale|Formation continue|Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,375.0,2021.0,Toutes licences,
ESC La Rochelle,102 rue de Coureilles,Les Minimes,,LA ROCHELLE,"46.14085,-1.156373",Université de Poitiers,"Marketing, vente",Formation initiale|Formation continue|Alternance|Apprentissage,Marketing du Luxe,Formation initiale|Formation continue|Alternance,"DROIT, ECONOMIE, GESTION",Oui,80.0,2019.0,,
Site des Chênes,33 bd du Port,,,CERGY-PONTOISE cedex,"0.0,-0.0",CY Cergy Paris Université,Master intégré franco-allemand en droit de l'entreprise,,,,"DROIT, ECONOMIE, GESTION",Oui,10.0,2021.0,Licence intégrée franco-allemande en droit,
ISFATES,Rue Augustin Fresnel,,,METZ,"49.096227,6.226616",Université de Lorraine,Master intégré franco-allemand en management,Formation initiale|Formation continue,Parcours général,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,55.0,2020.0,,http://iaemetz.univ-lorraine.fr/content/master-integre-franco-allemand-en-management
UFR DES SCIENCES ET TECHNIQUES,16 ROUTE DE GRAY,,,BESANCON,"47.244401,5.989696",Université de Besançon,Mathématiques,Formation initiale|Formation continue|Formation à distance,Mathématiques générales,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,122.0,2020.0,,
Université Clermont Auvergne,49 boulevard François Mitterrand,49 Bld François Mitterand,,CLERMONT FERRAND CEDEX 1,,Université Clermont Auvergne,"Mathématiques appliquées, statistique",Formation initiale|Formation continue|Alternance,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2021.0,,
UFR Mathématiques et Informatique - Centre Pierre Mendes France,90 rue de Tolbiac,,,Paris,"48.826949,2.364806",Université Paris-I,Mathématiques et applications,Formation initiale,International Master in Mathematics Applied to Economics & Finance (IMMAEF),Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,70.0,2020.0,,
Université Paris 8,2 rue de la Liberté,,,Saint-Denis,"0.0,-0.0",Université Paris-VIII,Mathématiques et informatique appliquées aux sciences humaines et sociales - MIASHS,Formation initiale|Formation continue,Technologie et handicap,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES",Oui,30.0,2020.0,,
COMUE Bourgogne Franche-Comté,32 avenue de l'Observatoire,,,BESANCON,,COMUE Bourgogne Franche-Comté,"Mathématiques, Physique",Formation initiale|Formation continue,Mathematical Physics (Math4Phys) (mathématique pour la physique),Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,20.0,2021.0,,
Université de Paris,85 boulevard Saint Michel,,,PARIS,,Université de Paris,"Mathématiques, données et apprentissage",Formation initiale,Ingénerie mathématiques et biostatistique,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,45.0,2021.0,,
UFR Biologie,Campus Universitaire des Cézeaux,3 impasse Amélie Murat,TSA 60026 - CS 60026,AUBIERE,"45.759981,3.115127",Université Clermont Auvergne,Microbiologie,Formation initiale,"Génome, écologie et physiologie microbienne",Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,36.0,2019.0,,
UFR Mathématiques et Informatique - Centre Pierre Mendes France,90 rue de Tolbiac,,,Paris,"48.826949,2.364806",Université Paris-I,Migrations,,Mathématiques appliquées à l'économie et à la finance (MAEF),Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,15.0,2019.0,"Arts|Histoire de l'art et archéologie|Lettres|Philosophie|Droit|Economie|Science politique|Histoire|Psychologie|Sciences du langage|Sociologie|Arts plastiques|Langues étrangères appliquées|Langues, littératures et civilisations étrangères et régionales|Lettres, langues|Musicologie|Géographie et aménagement|Humanités|Sciences de l'Homme, anthropologie, ethnologie|Sciences sociales|Mathématiques et informatique appliquées aux sciences humaines et sociales|Sciences pour la santé",https://formations.pantheonsorbonne.fr/fr/catalogue-des-formations/master-M/sciences-humaines-et-sociales-SHS/master-migrations-KECKGYJH/master-parcours-migrations-KECKGYWB.html
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Migrations transnationales (MITRA),Formation initiale|Formation continue,Migrations transnationales : Cultural diversity,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,20.0,2021.0,,
Institut de la Communication,5 avenue Pierre Mendes-France,86 rue Pasteur Lyon,,Bron,"45.722593,4.915126",Université Lyon-II,Mode,Formation initiale|Formation continue,Mode et communication,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,36.0,2019.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Mondes anciens,Formation initiale|Formation continue,Egypte et Proche-Orient anciens,Formation initiale|Formation continue,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Oui,55.0,2021.0,,
EHESS (pôle Lyon),14 avenue Berthelot,Maison des Sciences de l’Homme - Lyon Saint Etienne,,Lyon,"45.746944,4.8351237",Ecole des hautes études en sciences sociales,Mondes médiévaux,Formation initiale,"Histoire, archéologie, littératures des mondes chrétiens et musulmans médiévaux",Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,10.0,2019.0,,
UFR des Sciences économiques et de gestion,18 quai Claude Bernard,,,Lyon,"45.750784,4.836274",Université Lyon-II,"Monnaie, banque, finance, assurance",Formation initiale|Formation continue|Alternance,"Conseiller de clientèle de professionnels et gestion de patrimoine (CCProGP), alternance CFPB",Alternance,"DROIT, ECONOMIE, GESTION",Oui,155.0,2020.0,,
Université de Dijon,Esplanade Erasme,BP 27877,,DIJON CEDEX,,Université de Dijon,Musicologie,Formation initiale|Formation continue,Musicologie de la création et de la performance,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,18.0,2021.0,,
U.F.R. de Lettres et Arts,9. rue du Temple,B.P. 10665,,ARRAS,"50.283639,2.79224",Université d'Artois,"Muséologie, muséo-expographie",Formation initiale|Formation continue|Apprentissage,Expographie - muséographie,Formation initiale|Formation continue|Apprentissage,"ARTS, LETTRES, LANGUES",Oui,15.0,2020.0,,
Université de Lille,Faculté des Sciences et Technologies,Département Mécanique,Cité Scientifique,Villeneuve d'Ascq cedex,"0.0,-0.0",Université de Lille,Mécanique,Formation initiale|Formation continue,Mécanique,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,16.0,2020.0,Mécanique,
Université de Lille,Pont de Bois,UFR LLCE,BP 60149,VILLENEUVE D ASCQ,"50.63041,3.145987",Université de Lille,"Médiation interculturelle : identités, mobilités, conflits",Formation initiale|Formation continue,Art et responsabilité sociale - International,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,44.0,2019.0,,
ISTIC Informatique - électronique,Campus de Beaulieu,Avenue du Général Leclerc,CS 74205,RENNES,"48.118133,-1.637697",Université Rennes-I,Méthodes informatiques appliquées à la gestion des entreprises - MIAGE,Formation initiale,big data : décisionnel et apprentissage,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,94.0,2020.0,,
Université du Mans,AVENUE OLIVIER MESSIAEN,,,LE MANS CEDEX 9,,Université du Mans,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",Formation initiale|Formation continue,,,Autre Domaine,Non,,2020.0,Toutes licences,https://inspe.univ-nantes.fr/notre-offre-de-formation/devenir-professeur-des-ecoles/master-metiers-de-l-enseignement-de-l-education-et-de-la-formation-meef-1er-degre-2023129.kjsp?RH=1403526763811
INSPE,30 Avenue Marcelin Berthelot,,,GRENOBLE,"0.0,-0.0",Université Grenoble Alpes,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",Formation initiale|Formation continue,Sciences industrielles de l'ingénieur,Formation initiale|Formation continue,Autre Domaine,Oui,386.0,2020.0,,
Institut National Supérieur du Professorat et de l'Education,36 avenue Jean-Jaurès,CS 20001,,CHAMALIERES,"45.771778,3.073647",Université Clermont Auvergne,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",Formation initiale|Formation continue,Conseiller principal d'éducation,Formation initiale|Formation continue,Autre Domaine,Oui,16.0,2020.0,,
Institut national des langues et civilisations orientales,65  RUE DES GRANDS MOULINS,,,PARIS,"48.827426,2.376227",Institut national des langues et civilisations orientales,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",Formation initiale,,,Autre Domaine,Sans objet,,2021.0,Toutes licences,https://www.inspe-paris.fr/
Université de Paris – Campus Grands Moulins,"5, rue Thomas Mann",,,Paris,"0.0,-0.0",Université de Paris,"Métiers des études, du conseil et de l'intervention (MECI)",Formation initiale|Formation continue|Alternance|Apprentissage,Projets informatiques et Stratégie d'entreprise,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,69.0,2020.0,,
Université d'Angers,40  RUE DE RENNES,,,ANGERS CEDEX 01,,Université d'Angers,Métiers du livre et de l'édition,Formation initiale|Formation continue,"Édition, édition multimédia, rédaction professionnelle",Formation initiale|Formation continue|Alternance,"ARTS, LETTRES, LANGUES",Sans objet,,2021.0,,
Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,,,TOULOUSE CEDEX 4,,Institut national polytechnique de Toulouse,Nanosciences et nanotechnologies,Formation initiale|Formation continue,Nanoscale Science and Engineering,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2021.0,,
UFR Sciences et Technologies,Faculté Sciences Technologies,Bâtiment Lipmann,43 Boulevard du 11 novembre 1918,VILLEURBANNE,"45.778928,4.868194",Université Lyon-I,Neurosciences,Formation initiale,NEUROSCIENCES FONDAMENTALES ET CLINIQUES,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,36.0,2019.0,,
Institut des Sciences et Techniques de Valenciennes - ISTV,Centre Universitaire La Forêt,6 rue de Rambouillet,,CAMBRAI,"50.189553,3.246099",Université Polytechnique Hauts-de-France,Nutrition et sciences des aliments,Formation initiale|Formation continue|Apprentissage,MAITRISE DE LA QUALITE ET DES RISQUES POUR LES BONNES PRATIQUES DE FABRICATION EN INDUSTRIE AGRO-ALIMENTAIRE,Formation initiale|Formation continue|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2019.0,,
Télécom Physique Strasbourg,300 BOULEVARD SEBASTIEN BRANT,,,ILLKIRCH-GRAFFENSTADEN,"48.525561,7.737725",Université de Strasbourg,"Optique, image, vision, multimédia",Formation initiale|Formation continue,Topographie et photogrammétrie,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,75.0,2020.0,"Informatique|Physique|Electronique, énergie électrique, automatique",
Université Lyon-III,1  RUE DE L'UNIVERSITE,,,LYON CEDEX 02,,Université Lyon-III,Patrimoine et musées,Formation initiale,Médiations culturelles et numérique,Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2021.0,,
Université de Bordeaux,35  PLACE PEY BERLAND,,,BORDEAUX,,Université de Bordeaux,Pharmacologie,Formation initiale|Formation continue,Evaluation et promotion du bon usage des médicaments,,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2021.0,,
École Pratique des Hautes Études,4-14 rue Ferrus,,,Paris,"48.830842,2.34057",Université Paris Sciences et Lettres,Philosophie,Formation initiale,"Philosophie de la connaissance, histoire et philosophie des sciences",Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,60.0,2020.0,,
UFR Sciences et Techniques,9 av. Alain Savary,BP 47870,,DIJON,"47.312927,5.070805",Université de Dijon,Physique,Formation initiale|Alternance,"Procédés, Contrôles, Matériaux Métalliques : Industrie nucléaire",Formation initiale|Alternance,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,14.0,2020.0,,
Université de Limoges,33  RUE FRANCOIS MITTERAND,,,LIMOGES CEDEX 1,,Université de Limoges,Physique appliquée et ingénierie physique,,HIGH FREQUENCY ELECTRONICS & PHOTONICS,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,84.0,2021.0,,
Université Rennes-I,2  RUE DU THABOR,,,RENNES CEDEX,,Université Rennes-I,Physique fondamentale et applications,Formation initiale,photonique,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,77.0,2021.0,,
"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",1 AVENUE BOURGELAT,,,MARCY L ETOILE,,"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",Plant and animal sciences facing new challenge,,,,"SCIENCES, TECHNOLOGIES, SANTÉ",,,2021.0,,
UFR Droit et Science Politique,39 rue de l'Université,,,MONTPELLIER,"43.61403,3.87705",Université de Montpellier,Politiques comparées,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,15.0,2021.0,Droit,https://formations.umontpellier.fr/odf/politiques_comparees.html
Université Paris II,92 rue d'Assas,,,Paris,"48.843572,2.333494",Université Paris-II,Politiques publiques,Formation initiale,Administration et politiques publiques,Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,30.0,2019.0,,
Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et enseignements adaptés,58 avenue des Landes,,,SURESNES,,Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et enseignements adaptés,"Pratiques inclusives, handicap, accessibilité et accompagnement",,,,SCIENCES HUMAINES ET SOCIALES,Sans objet,,2021.0,,
Faculté des lettres. arts. philosophie. psychanalyse,Route de Mende,,,MONTPELLIER CEDEX 5,"43.630888,3.870329",Université Montpellier-III,Psychanalyse,Formation initiale|Formation continue|Formation à distance,,,"ARTS, LETTRES, LANGUES",Oui,180.0,2020.0,Lettres|Philosophie|Sciences de l'éducation,https://cales-new.univ-montp3.fr/fr/index/offre-de-formation/master-lmd-XB/arts-lettres-langues-ALL/master-1-psychanalyse-program-fr_rne_0341089z_pr_1297093440662.html
Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,,,MARSEILLE CEDEX 07,,Université d'Aix-Marseille,Psychologie,Formation initiale|Formation continue,Ergonomie : facteurs humains et ingénierie des systèmes d'information (EFHISI),Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,207.0,2021.0,,
Université  de Paris - Campus Grands Moulins,5 rue Thomas Mann,,,PARIS,"48.830259,2.380926",Université de Paris,Psychologie : psychopathologie clinique psychanalytique,Formation initiale|Formation continue,Clinique et psychopathologies infanto-juvéniles,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,340.0,2020.0,,
