Session,Établissement,Académie de l’établissement,Commune de l’établissement,Sélectivité,Filière de formation très agrégée,Filière de formation détaillée bis,Coordonnées GPS de la formation,Capacité de l’établissement par formation,Concours communs et banque d'épreuves,Lien de la formation sur la plateforme Parcoursup,Taux d’accès,Effectif total des candidats en phase principale,Effectif des candidats néo bacheliers généraux en phase principale,Effectif des candidats néo bacheliers technologiques en phase principale,Effectif des candidats néo bacheliers professionnels en phase principale,Effectif total des candidats en phase complémentaire,Effectif des candidats néo bacheliers généraux en phase complémentaire,Effectif des candidats néo bacheliers technologique en phase complémentaire,% d’admis néo bacheliers sans mention au bac,% d’admis néo bacheliers avec mention Assez Bien au bac,% d’admis néo bacheliers avec mention Bien au bac,% d’admis néo bacheliers avec mention Très Bien au bac,% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac,% d’admis néo bacheliers généraux,Dont % d’admis avec mention (BG),% d’admis néo bacheliers technologiques,Dont % d’admis avec mention (BT),% d’admis néo bacheliers professionnels,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale,Part des terminales technologiques qui étaient en position de recevoir une proposition en phase principale,Part des terminales professionnelles qui étaient en position de recevoir une proposition en phase principale
2025,nantes université,nantes,nantes,formation non sélective,licence_las,sciences de la vie et de la terre,"47.23579,-1.5552",36,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32041&typebac=0&originepc=0,34,1169,951,28,5,0,0,0,3.0,26.0,71.0,0.0,0.0,97.0,94.0,3.0,3.0,0.0,99,1,0
2025,nantes université,nantes,nantes,formation non sélective,licence,informatique,"47.23576,-1.55563",139,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32042&typebac=0&originepc=0,59,1654,885,108,22,0,0,0,54.0,37.0,8.0,1.0,0.0,100.0,46.0,0.0,0.0,0.0,100,0,0
2025,nantes université,nantes,nantes,formation non sélective,licence_las,mathématiques,"47.23589,-1.55579",36,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32045&typebac=0&originepc=0,nd,586,458,14,5,4,0,0,50.0,32.0,18.0,0.0,0.0,91.0,50.0,5.0,0.0,5.0,nd,nd,nd
2025,insa rennes,rennes,rennes,formation sélective,ecole d'ingénieur,formation d'ingénieur bac + 5,"48.1237,-1.63536",20,groupe insa,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32061&typebac=0&originepc=0,41,643,565,0,0,0,0,0,0.0,6.0,0.0,78.0,17.0,100.0,100.0,0.0,0.0,0.0,100,0,0
2025,lycée gustave eiffel,dijon,dijon,formation sélective,cpge,ens rennes d1,"47.334,5.06765",48,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3207&typebac=0&originepc=0,50,1471,991,6,3,0,0,0,2.0,21.0,50.0,25.0,2.0,100.0,98.0,0.0,0.0,0.0,100,0,0
2025,université de la réunion - le tampon,la réunion,le tampon,formation non sélective,licence,génie civil,"-21.2698,55.507",175,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32073&typebac=0&originepc=0,100,253,92,81,10,97,9,11,76.0,21.0,0.0,0.0,3.0,45.0,15.0,39.0,9.0,15.0,52,40,8
2025,cy tech - université de cergy-pontoise,versailles,cergy,formation sélective,ecole d'ingénieur,formation d'ingénieur bac + 5,"49.0347,2.06997",25,concours galaxybac,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32077&typebac=0&originepc=0,47,643,640,0,0,0,0,0,8.0,35.0,50.0,8.0,0.0,100.0,92.0,0.0,0.0,0.0,100,0,0
2025,aix-marseille université - site d'aix-en-provence,aix-marseille,aix-en-provence,formation non sélective,licence,droit,"43.51478,5.44706",60,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32081&typebac=0&originepc=0,36,1349,320,76,17,0,0,0,21.0,26.0,32.0,21.0,0.0,58.0,47.0,37.0,26.0,5.0,82,13,5
2025,université de tours,orléans-tours,tours,formation sélective,licence,musicologie,"47.3961,0.68155",20,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32089&typebac=0&originepc=0,79,33,24,4,0,7,1,0,0.0,75.0,0.0,25.0,0.0,75.0,75.0,25.0,25.0,0.0,92,8,0
2025,lycée victor hugo,besancon,besançon,formation sélective,cpge,mp2i,"47.2189,5.97849",45,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32099&typebac=0&originepc=0,79,1058,501,1,1,38,17,1,8.0,38.0,36.0,18.0,0.0,100.0,92.0,0.0,0.0,0.0,100,0,0
